SALESCOUNTRY,CALENDARYEARMONTH,PRODUCT,PRDGLOBALFAMILY,PRDGLOBALGROUP,PRDIOBJBRAND,PRODUCTIONMONTH,PRODUCTIONWEEK,PRODUCTIONYEAR,SERIALNUMBER
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,9,2016,151609004325
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,10,2016,151610001908
ITALY,01.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,10,2016,151610004489
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,10,2016,151610004503
ITALY,05.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,11,2016,151611006559
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2016,151614005528
ITALY,01.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2016,151615005397
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2016,151615005890
ITALY,03.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2016,151615005921
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,17,2016,151617004636
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,17,2016,151617004704
ITALY,01.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621000539
ITALY,01.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621000539
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621006929
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621006937
ITALY,02.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621006938
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2016,151621006974
ITALY,05.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001177
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001223
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001807
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001807
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001816
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2016,151623001863
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2016,151624002368
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2016,151624004402
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2016,151624006254
ITALY,01.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2016,151624006262
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2016,151624006287
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,29,2016,151629004706
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,29,2016,151629004749
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,29,2016,151629004752
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,31,2016,151631008973
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,31,2016,151631009018
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634004650
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634009025
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634009032
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634009041
ITALY,01.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634009056
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,34,2016,151634009112
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635002391
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635002391
ITALY,02.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003875
ITALY,03.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003875
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003875
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003875
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003937
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003937
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635003982
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635004005
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635004005
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2016,151635004005
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,36,2016,151636007869
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2016,151637008929
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2016,151637010198
ITALY,01.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638000836
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638000876
ITALY,08.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638000900
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638000903
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638003642
ITALY,03.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2016,151638005445
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641003808
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641003808
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641003819
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641003830
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641003830
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641005653
ITALY,03.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008764
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008774
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008792
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008799
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008823
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,41,2016,151641008823
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,42,2016,151642005833
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,12,51,2016,151651000453
ITALY,02.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,1,2017,151701000462
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,1,2017,151701000513
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,1,2017,151701000524
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,1,2017,151701000575
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,1,2017,151701000576
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,2,2017,151702000402
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,2,2017,151702000412
ITALY,05.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,2,2017,151702000430
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2017,151703000352
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2017,151703000406
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2017,151703003052
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2017,151703003071
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2017,151703007720
ITALY,03.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,4,2017,151704000409
ITALY,08.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,4,2017,151704006064
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006153
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006153
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006162
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006197
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006231
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,5,2017,151705006231
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2017,151707002549
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2017,151707003715
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2017,151707007956
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708000243
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708000271
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708000326
ITALY,04.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708000328
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708003452
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708004999
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708006445
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708006450
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,8,2017,151708006451
ITALY,08.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,10,2017,151710001808
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,13,2017,151713008051
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2017,151714001348
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2017,151714001360
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2017,151715001300
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2017,151715001307
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2017,151715001307
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2017,151715001309
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,15,2017,151715001309
ITALY,07.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003298
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003299
ITALY,06.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003301
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003313
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003313
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003313
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003313
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,18,2017,151718003451
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,19,2017,151719004787
ITALY,06.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,20,2017,151720004629
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,20,2017,151720004673
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,21,2017,151721004167
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722000387
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722001446
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722001505
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722004821
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722004832
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2017,151722004845
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,23,2017,151723000938
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2017,151724000901
ITALY,07.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2017,151724000915
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2017,151724000915
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,24,2017,151724000915
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725000668
ITALY,08.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725000715
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725000725
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725000736
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725000741
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725001622
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725001652
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725001683
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725004021
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725008756
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009045
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009050
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009829
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009829
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009829
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725009834
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,151725108762
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,28,2017,151728007634
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,28,2017,151728010634
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,28,2017,151728010634
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,28,2017,151728010652
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,30,2017,151730007216
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,31,2017,151731006760
ITALY,11.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,36,2017,151736006245
ITALY,10.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,36,2017,151736006288
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2017,151737010359
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2017,151737010359
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2017,151737010439
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,38,2017,151738009174
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,39,2017,151739008146
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,10,42,2017,151742005578
ITALY,12.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,11,46,2017,151746016797
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,10,2015,221510000001
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2017,341707000041
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,6,25,2017,341725637359
ITALY,09.2017,HOL9472 THERMOMETER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,2,10,371002300182
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,7,27,2011,371127302894
ITALY,05.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2013,371335004875
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,8,35,2013,371335004999
ITALY,09.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,9,37,2013,371337009260
ITALY,10.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,11,48,2013,371348009218
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2014,371407000041
ITALY,11.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,2,7,2014,371407000072
ITALY,01.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,3,12,2014,371412002129
ITALY,08.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2014,371414003439
ITALY,02.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2014,371414003475
ITALY,04.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,4,14,2014,371414003475
ITALY,12.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,5,22,2014,371422006577
ITALY,05.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2015,421503003511
ITALY,05.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2015,421503003511
ITALY,05.2017,HOL26514 FOOD STORAGE CONTAINER,FREESTANDING,Food Preparation,HOLRESTAURANT,1,3,2015,421503003511
